reference	pageref	identified_name	identified_authority	identified_status	identified_note	assignment_confidence	morphological_information	accepted_name	lsid_act	formation	member	bed	zone	subzone	stage	series	system	location	country	utm_wgs84	latitude	longitude	comments	lsid_pub	synonym_id
Jacobs2020PO	7	Thalassodraco etchesi	Jacobs2020PO	orig		v *	Y	Thalassodraco etchesi	urn:lsid:zoobank.org:act:35626449-D5AC-4970-B76E-27A827126D23	Kimmeridge Clay Formation		White Stone Band	*Pectinatites pectinatus* Ammonite Biozone		early Tithonian	Upper Jurassic	Jurassic	Rope Lake Bay, Kimmeridge, Dorset U.K.	GB		50.59813	-2.096825	[UK GR SY932775]{.smallcaps}	urn:lsid:zoobank.org:pub:C1D99FF1-D4FC-4526-8E28-1B8FA64E21C0	90
vonHuene1916P	3	Mixosaurus atavus	Quenstedt1852	ncomb			Y	Contectopalatus atavus																	91
McGowan2003	67	Mixosaurus atavus	Quenstedt1852	ncomb			N	Contectopalatus atavus																	92
Maisch1998NJGPAb	115	Contectopalatus atavus	Quenstedt1852	ncomb			Y	Contectopalatus atavus																	93
Wiman1910BGIUa	139	Pessopteryx nisseri	Wiman1910BGIUa	orig		*	Y	Pessopteryx nisseri		Vikinghøgda Formation		Lower Saurian Niveau	*Keyserlingites subrobustus* Ammonoid Biozone		Spathian	Lower Triassic	Triassic		SJ						94
Bindellini2021P	20	Besanosaurus leptorhynchus	DalSasso1996PL	orig			Y	Besanosaurus leptorhynchus		Besano Formation			*Nevadites secedensis* Ammonoid Biozone		Ilyrian, Anisian	Middle Triassic	Triassic	Sasso Caldo, Italy	IT		45.901028	8.919611			95
Bindellini2021P	20	Besanosaurus leptorhynchus	DalSasso1996PL	orig			Y	Besanosaurus leptorhynchus		Besano Formation			*Nevadites secedensis* Ammonoid Biozone		Ilyrian, Anisian	Middle Triassic	Triassic	Val Stelle, Tre Fontane, Switzerland	CH						96
Maisch1997PZ	268	Mikadocephalus gracilirostris	Maisch1997PZ	orig			Y	Besanosaurus leptorhynchus		Besano Formation			*Reitziites reitzi*–*Nevadites secedensis* ammonoid biozones		Ilyrian, Anisian	Middle Triassic	Triassic	Switzerland	CH						97
Maxwell2020PE	11	Hauffiopterx altera	Maxwell2020PE	orig		*	Y	Hauffiopteryx altera	urn:lsid:zoobank.org:act:A567A292-2A58-495A-839F-FF8382B49479	Posidonia Shale Formation		Lias εII,4/5	*Harpoceras serpentinum* Ammonoid Biozone	*Harpoceras exaratum* Ammonoid Subbiozone	Toarcian	Lower Jurassic	Jurassic	Dotternhausen-Dormettingen, Bade-Württemberg, Germany	DE					urn:lsid:zoobank.org:pub:041F166A-28FC-4ED6-AD7C-DF64EF4EF1A7	98
Jager2005	29	Eurhinosaurus longirostris	Mantell1851	ncomb		p	N	Hauffiopteryx altera																	99
Maxwell2020PE	3	Hauffiopterx typicus	Maisch2008P	orig		*	Y	Hauffiopteryx typicus		Posidonia Shale Formation		Lias εII,4	*Harpoceras serpentinum* Ammonoid Biozone	*Harpoceras exaratum* Ammonoid Subbiozone	Toarcian	Lower Jurassic	Jurassic	Dotternhausen-Dormettingen, Bade-Württemberg, Germany	DE						100
Zverkov2019P	44	Arthropterygius volgensis	Kasansky1903TOEPIKU	ncomb			Y	Arthropterygius volgensis					*Dorsoplanites panderi* Ammonite Biozone		middle Volgian	Upper Jurassic	Jurassic	mouth of the Berezoviy Dol Ravine near Novaya Racheika Village, Syzran District, Samara Region, Russian	RU						101
Zverkov2021EESTRSE	6	Auroroborealia incognita	Zverkov2021EESTRSE	orig		*	Y	Auroroborealia incognita	urn:lsid:zoobank.org:act:5EFAB647-9971-4361-925D-A64B665521E9				*Pinacoceras verchojanicum* Ammonoid Biozone		lower Norian	Upper Triassic	Triassic	Kotelny Island, New Siberian Islands, Russia	RU		75.515	138.927			102
